"ONHAND_REF","SHIPMENT_TYPE","SHPMNT_REF","FRD_DATE","FRT_DATE"
"F222107390  ","OHA ","4220345579  ","118110130152570704","118110130156250720"
"F222107391  ","OHA ","4220345565  ","118110130153110720","118110130156330720"
"F222107393  ","OHA ","4220345553  ","118110130153280704","118110130156410704"
"F222107394  ","OHA ","4220345562  ","118110130154210704","118110130156440720"
"F222107395  ","OHA ","3220121479  ","118110130154290704","118110130156480704"
"F222107402  ","OHA ","4220345561  ","118110130154360704","118110130157080704"
"F222107403  ","OHA ","3220121480  ","118110130154420704","118110130157110704"
"F222107405  ","OHA ","AIR         ","118110130154470704","118110130157210704"
"F222107407  ","OHA ","3220121481  ","118110130154540704","118110130157270704"
"F222107408  ","OHA ","3220121482  ","118110130155040704","118110130157300704"
"F222107410  ","OHA ","4220345564  ","118110130155110704","118110130157360704"
"F222107413  ","OHA ","4220345561  ","118110130155150704","118110130157470704"
"F222107414  ","OHA ","4220345560  ","118110130155220704","118110130157500720"
"F222107415  ","OHA ","4220345581  ","118110130155300704","118110130157530704"
"F222107416  ","OHA ","AIR         ","118110130155360704","118110130157570704"
"F222107417  ","OHA ","4220345559  ","118110130155410704","118110130158010704"
"F222107418  ","OHA ","AIR         ","118110130155480720","118110130158040704"
"F222107419  ","OHA ","AIR         ","118110130155550704","118110130158100704"
"F222107420  ","OHA ","4220345547  ","118110130156030704","118110130158140704"
"F222107435  ","OHA ","3220121474  ","118110130309560768",""
"F222107224  ","OHA ","4220345544  ","118110130322380704","118110130322450704"
"F222107344  ","OHA ","AIR         ","118110130351060704","118110130547370704"
"F222107347  ","OHA ","4220345586  ","118110130351490704","118110130549410704"
"F222107348  ","OHA ","AIR         ","118110130352030704","118110130551060704"
"F222107349  ","OHA ","AIR         ","118110130352320704","118110130553050704"
"F222107346  ","OHA ","4220345587  ","118110130352560704","118110130554270704"
"F222107340  ","OHA ","AIR         ","118110130353120704","118110130555570704"
"F222107337  ","OHA ","AIR         ","118110130353270704","118110130557420704"
"F222106895  ","OHA ","4220345588  ","118110130354090720","118110130559050720"
"F222106671  ","OHA ","AIR         ","118110130354440704","118110130603430704"
"F222106675  ","OHA ","AIR         ","118110130357280704","118110130605170704"
"F222106673  ","OHA ","4220345593  ","118110130357480704","118110130545580704"
"F222107462  ","OHA ","4220345571  ","118110130521430704","118110130523180704"
"F222107283  ","OHA ","4220345539  ","118110130553290704","118110130554410704"
"F222106659  ","OHA ","AIR         ","118110130600410704","118110130602100704"
"F222107039  ","OHA ","4220345550  ","118110130605410704","118110131020050704"
"F222100218  ","OHA ","4220345471  ","118110130613170704","118110130657500704"
"F222107498  ","OHA ","4220345585  ","118110130710270704","118110130711050704"
"F222100221  ","OHA ","4220345558  ","118110130723340704","118110130736390752"
"F222107509  ","OHA ","4220345549  ","118110130729490704","118110130731310720"
"F222107512  ","OHA ","4220345576  ","118110130744200704",""
"F222107191  ","OHA ","4220345519  ","118110130818330704","118110130827270704"
"F222107486  ","OHA ","4220345568  ","118110130851480704","118110222352320704"
"F222107536  ","OHA ","4220345580  ","118110130922030704","118110222346040704"
"F222107511  ","OHA ","4220345575  ","118110130922290704","118110222347500704"
"F222107500  ","OHA ","4220345585  ","118110130954120720","118110130954190704"
"F222107499  ","OHA ","4220345585  ","118110130955090704","118110130955280704"
"F222107583  ","OHA ","AIR         ","118110131000020704","118110131001230704"
"F222107585  ","OHA ","AIR         ","118110131003540720","118110131004110704"
"F222107587  ","OHA ","AIR         ","118110131006080704","118110131006440720"
"F222107590  ","OHA ","AIR         ","118110131008440704","118110131009040704"
"F222107592  ","OHA ","AIR         ","118110131012170704","118110131013010704"
"F222107593  ","OHA ","AIR         ","118110131014080704","118110131014580704"
"F222107596  ","OHA ","AIR         ","118110131022190704","118110131022480704"
"F222107596  ","OHA ","AIR         ","118110131022190704","118110131023060704"
"F222107603  ","OHA ","AIR         ","118110131040230704","118110131041120704"
"F222107606  ","OHA ","4220345594  ","118110131042520720","118110131043040704"
"F222107446  ","OHA ","AIR         ","118110131116190704","118110230023060704"
"F222107444  ","OHA ","AIR         ","118110131117020704","118110230021430704"
"F222107441  ","OHA ","AIR         ","118110131117180704","118110230020060704"
"F222107373  ","OHA ","4220345578  ","118110131117330704","118110230018110704"
"F222107371  ","OHA ","4220345573  ","118110131117470704","118110230016290720"
"F222107611  ","OHA ","4220345589  ","118110131130220704",""
"F222107613  ","OHA ","4220345590  ","118110131130590704",""
"F222107445  ","OHA ","4220345554  ","118110131132050704",""
"F222107422  ","OHA ","4220345556  ","118110131133350704","118110222358170704"
"F222107295  ","OHA ","AIR         ","118110131133530704","118110222356130704"
"F222107624  ","OHA ","4220345590  ","118110131144450704",""
"F222107341  ","OHA ","AIR         ","118110230002150704","118110230003180704"
"F222100219  ","OHA ","4220345542  ","118110230029180704","118110230031290704"
"F222107707  ","OHA ","AIR         ","118110230240190704",""
